label,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
Normal,0,0,0,0.3518734872341156,0.46600067615509033,0.39351344108581543,0,0,0,0.18079467117786407,0.21342571079730988,0.6507917046546936,0.6465396881103516,0,0,0,0,0,0,0.1595841348171234,0.28146013617515564,0,0,0,0,0,0,0,0,0,0.14706191420555115,0.148538276553154,0,0,0,0,0,0,0.29864877462387085,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.34008219838142395,0.4414602518081665,0.38533157110214233,0,0,0,0.18524008989334106,0.21636797487735748,0.6405670642852783,0.6379020810127258,0,0,0,0,0,0,0.16954927146434784,0.27836090326309204,0,0,0,0,0,0,0,0,0,0.17999523878097534,0.19020047783851624,0,0,0,0,0,0,0.3042638897895813,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3387353718280792,0.42554232478141785,0.38559678196907043,0,0,0,0.19576652348041534,0.21103359758853912,0.6294424533843994,0.6285697221755981,0.10392206162214279,0,0,0,0,0,0.18060432374477386,0.28913193941116333,0,0,0,0,0,0,0,0,0,0.16686497628688812,0.18070954084396362,0,0,0,0,0,0,0.261885404586792,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2715991139411926,0.3354501724243164,0.3259352445602417,0,0,0,0.15067066252231598,0.1581304371356964,0.4972573220729828,0.49372848868370056,0,0,0,0,0,0,0.19242806732654572,0.2947947382926941,0,0,0,0,0,0,0,0,0,0.13783621788024902,0.15688833594322205,0,0,0,0,0,0,0.28700411319732666,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.21434390544891357,0.23917385935783386,0.22391878068447113,0,0,0,0.11959639936685562,0,0.40723222494125366,0.38751116394996643,0,0,0,0,0,0,0.22428610920906067,0.23005330562591553,0,0,0,0,0,0,0,0,0,0.1481553316116333,0.17082147300243378,0,0,0,0,0,0,0.35249629616737366,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.2108326256275177,0.2451450675725937,0.22388049960136414,0,0,0,0.10716547816991806,0,0.36728745698928833,0.3514575958251953,0,0,0,0,0,0,0.18757781386375427,0.2262508124113083,0,0,0,0,0,0,0,0,0,0.18375200033187866,0.21086837351322174,0,0,0,0,0,0,0.42347171902656555,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.1904001384973526,0.24521459639072418,0.22602546215057373,0,0,0,0.11234824359416962,0,0.34806719422340393,0.3398992121219635,0,0,0,0,0,0,0.19475112855434418,0.22517883777618408,0,0,0,0,0,0,0,0,0,0.21069198846817017,0.24039192497730255,0,0,0,0,0,0,0.419735848903656,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.20356911420822144,0.2710382640361786,0.24903567135334015,0,0,0,0.11718842387199402,0,0.3382008671760559,0.33163580298423767,0,0,0,0,0,0,0.2035505622625351,0.22302579879760742,0,0,0,0,0,0,0,0,0,0.19562946259975433,0.23523470759391785,0,0,0,0,0,0,0.4974830746650696,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.25032714009284973,0.34645792841911316,0.3133552670478821,0,0,0,0.11356858909130096,0.1413743793964386,0.513756513595581,0.5187310576438904,0,0,0,0,0,0,0.18062824010849,0.3032345473766327,0,0,0,0,0,0,0,0,0,0.17845311760902405,0.20480306446552277,0,0,0,0,0,0,0.45471975207328796,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.31936708092689514,0.39421218633651733,0.3424892723560333,0,0,0,0.165358766913414,0.1929217278957367,0.5799471139907837,0.5778367519378662,0,0,0,0,0,0,0.19097800552845,0.3111005425453186,0,0,0,0,0,0,0,0,0,0.1865745186805725,0.20622794330120087,0,0,0,0,0,0,0.33097830414772034,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3665975332260132,0.40026387572288513,0.34475621581077576,0,0,0,0.14876899123191833,0.18702390789985657,0.591765284538269,0.5914726257324219,0,0,0,0,0,0,0.17269548773765564,0.30473679304122925,0,0,0,0,0,0,0,0,0,0.21491366624832153,0.23946994543075562,0,0,0,0,0,0,0.3076722025871277,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3679223954677582,0.42360395193099976,0.34305569529533386,0,0,0,0.14192594587802887,0.18117347359657288,0.6040019989013672,0.6022704839706421,0,0,0,0,0,0,0.1608390361070633,0.3056508004665375,0,0,0,0,0,0,0,0,0,0.17979878187179565,0.1878092736005783,0,0,0,0,0,0,0.30759888887405396,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.35235387086868286,0.4463510513305664,0.365388959646225,0,0,0,0.1491338461637497,0.18228645622730255,0.6127195358276367,0.6107497215270996,0.10180751979351044,0,0,0,0,0,0.16185685992240906,0.2854362726211548,0,0,0,0,0,0,0,0,0,0.16482311487197876,0.1752660870552063,0,0,0,0,0,0,0.31129008531570435,0,0,0,0,0,0,0,0,0,0,0,0,0
